athlete_id,age,height,weight,sex
1,24.0,180.0,80.0,M
2,23.0,170.0,60.0,M
5,24.333333333333332,185.0,82.0,F
6,32.0,188.0,75.0,M
7,32.0,183.0,72.0,M
9,26.0,186.0,96.0,M
11,22.0,182.0,76.5,M
12,31.0,172.0,70.0,M
13,32.0,159.0,55.5,F
14,32.0,171.0,65.0,F
16,28.0,184.0,85.0,M
17,30.0,175.0,64.0,M
18,31.0,189.0,130.0,M
20,25.6,176.0,85.0,M
22,22.0,170.0,125.0,F
23,24.0,187.0,89.0,M
26,17.0,169.0,65.0,F
28,45.0,170.0,77.0,M
30,28.0,189.0,72.0,M
31,24.0,174.0,70.0,M
33,26.0,187.0,76.0,M
34,30.0,187.0,76.0,M
35,24.0,190.0,98.0,M
36,22.6,194.0,78.0,M
37,23.0,182.0,64.0,F
43,34.0,185.0,75.0,M
44,27.4,182.0,73.0,M
46,47.4,194.0,93.0,M
47,25.0,177.0,74.0,M
49,26.0,168.0,65.0,F
50,24.0,185.0,106.0,M
51,23.0,167.0,64.0,M
52,22.0,189.0,80.0,M
53,24.0,172.0,58.0,M
55,26.0,170.0,65.0,M
57,24.0,176.0,66.0,M
59,26.0,164.0,71.0,M
60,24.0,172.0,75.0,M
61,26.0,175.0,72.0,M
62,21.0,198.0,90.0,M
63,30.0,194.0,87.0,M
65,21.0,165.0,49.0,F
67,24.0,179.0,80.0,F
68,23.0,178.0,76.0,M
69,19.0,185.0,72.0,F
70,26.0,167.0,65.0,M
71,27.0,172.0,82.0,M
72,26.0,180.0,83.0,M
73,27.0,182.0,86.0,M
74,30.0,182.0,73.0,F
75,22.0,178.0,70.0,M
76,22.0,185.0,82.0,M
77,27.0,166.0,75.0,M
80,22.0,186.0,83.0,M
81,22.0,190.0,77.0,M
82,26.0,183.0,75.0,M
84,26.0,165.0,55.0,M
85,28.0,181.0,82.0,M
86,24.0,182.0,67.0,M
87,29.0,188.0,97.0,M
88,25.0,168.0,105.0,F
90,21.0,163.0,60.0,F
91,27.0,190.0,80.0,M
92,21.0,180.0,73.0,M
93,36.0,190.0,85.0,M
95,35.0,155.0,43.0,F
96,18.0,168.0,60.0,M
97,16.0,180.0,70.0,M
98,30.0,169.0,75.0,M
99,30.0,181.0,79.0,M
101,25.0,170.0,51.0,M
105,21.0,175.0,75.0,M
106,28.333333333333332,188.0,96.0,M
107,28.0,182.0,90.0,M
108,26.75,187.0,97.0,M
109,24.333333333333332,176.0,64.0,M
110,20.0,175.0,66.0,M
111,22.0,190.0,88.0,M
112,21.0,169.0,67.0,M
113,22.0,175.0,80.0,M
114,20.0,160.0,65.0,M
115,24.0,181.0,74.0,M
117,22.0,178.0,78.0,M
118,22.0,165.0,65.0,M
120,26.0,170.0,70.0,M
121,23.0,168.0,55.0,M
122,28.0,173.0,77.0,M
123,30.333333333333332,178.0,80.0,M
125,28.0,170.0,62.0,M
126,20.0,164.0,58.0,F
127,24.0,165.0,60.0,M
128,28.0,173.0,60.0,F
129,22.0,181.0,74.0,M
130,18.0,182.0,76.0,M
131,33.0,159.0,53.0,F
132,28.0,171.0,64.0,F
134,23.0,192.0,90.0,M
135,23.0,178.0,72.0,F
136,29.0,195.0,85.0,M
137,17.0,175.0,64.0,M
138,24.0,180.0,104.0,M
